"grape_name","wine_name","ratings_average","ratings_count"
Cabernet Sauvignon,Cabernet Sauvignon,4.8,2941
Cabernet Sauvignon,Mágico,4.8,146
Cabernet Sauvignon,IX Estate Red,4.7,2810
Cabernet Sauvignon,Special Selection Cabernet Sauvignon,4.7,41236
Cabernet Sauvignon,Unico Reserva Especial Edición,4.7,13025
Chardonnay,Amarone della Valpolicella Classico Riserva,4.8,587
Chardonnay,Cabernet Sauvignon,4.8,2941
Chardonnay,Fratini Bolgheri Superiore,4.8,153
Chardonnay,Cristal Rosé Vinothèque,4.8,88
Chardonnay,Batard-Montrachet Grand Cru,4.8,34
Merlot,Amarone della Valpolicella Classico Riserva,4.8,587
Merlot,Fratini Bolgheri Superiore,4.8,153
Merlot,Cristal Rosé Vinothèque,4.8,88
Merlot,Batard-Montrachet Grand Cru,4.8,34
Merlot,Eszencia,4.7,488
